image_path,label,class_name
data\gameplay-images\God of War\image_29.png,6,God of War
data\gameplay-images\Minecraft\image_633.png,7,Minecraft
data\gameplay-images\Apex Legends\image_968.png,1,Apex Legends
data\gameplay-images\Roblox\image_601.png,8,Roblox
data\gameplay-images\Apex Legends\image_526.png,1,Apex Legends
data\gameplay-images\Apex Legends\image_491.png,1,Apex Legends
data\gameplay-images\Forza Horizon\image_62.png,3,Forza Horizon
data\gameplay-images\God of War\image_932.png,6,God of War
data\gameplay-images\Minecraft\image_601.png,7,Minecraft
data\gameplay-images\Genshin Impact\image_319.png,5,Genshin Impact
data\gameplay-images\Genshin Impact\image_518.png,5,Genshin Impact
data\gameplay-images\Fortnite\image_521.png,2,Fortnite
data\gameplay-images\Apex Legends\image_701.png,1,Apex Legends
data\gameplay-images\God of War\image_338.png,6,God of War
data\gameplay-images\God of War\image_437.png,6,God of War
data\gameplay-images\Minecraft\image_809.png,7,Minecraft
data\gameplay-images\Roblox\image_582.png,8,Roblox
data\gameplay-images\Terraria\image_531.png,9,Terraria
data\gameplay-images\Minecraft\image_429.png,7,Minecraft
data\gameplay-images\Free Fire\image_831.png,4,Free Fire
data\gameplay-images\Terraria\image_21.png,9,Terraria
data\gameplay-images\Terraria\image_186.png,9,Terraria
data\gameplay-images\Free Fire\image_268.png,4,Free Fire
data\gameplay-images\Roblox\image_804.png,8,Roblox
data\gameplay-images\Among Us\image_212.png,0,Among Us
data\gameplay-images\Among Us\image_953.png,0,Among Us
data\gameplay-images\Roblox\image_341.png,8,Roblox
data\gameplay-images\Apex Legends\image_720.png,1,Apex Legends
data\gameplay-images\Minecraft\image_53.png,7,Minecraft
data\gameplay-images\Among Us\image_986.png,0,Among Us
data\gameplay-images\Free Fire\image_95.png,4,Free Fire
data\gameplay-images\Genshin Impact\image_514.png,5,Genshin Impact
data\gameplay-images\Among Us\image_993.png,0,Among Us
data\gameplay-images\Genshin Impact\image_65.png,5,Genshin Impact
data\gameplay-images\Roblox\image_923.png,8,Roblox
data\gameplay-images\God of War\image_496.png,6,God of War
data\gameplay-images\Genshin Impact\image_945.png,5,Genshin Impact
data\gameplay-images\Forza Horizon\image_194.png,3,Forza Horizon
data\gameplay-images\Fortnite\image_725.png,2,Fortnite
data\gameplay-images\Forza Horizon\image_133.png,3,Forza Horizon
data\gameplay-images\Terraria\image_387.png,9,Terraria
data\gameplay-images\Among Us\image_652.png,0,Among Us
data\gameplay-images\God of War\image_555.png,6,God of War
data\gameplay-images\Forza Horizon\image_31.png,3,Forza Horizon
data\gameplay-images\Genshin Impact\image_917.png,5,Genshin Impact
data\gameplay-images\Fortnite\image_117.png,2,Fortnite
data\gameplay-images\Genshin Impact\image_377.png,5,Genshin Impact
data\gameplay-images\Minecraft\image_391.png,7,Minecraft
data\gameplay-images\Apex Legends\image_859.png,1,Apex Legends
data\gameplay-images\Free Fire\image_149.png,4,Free Fire
data\gameplay-images\Apex Legends\image_973.png,1,Apex Legends
data\gameplay-images\Among Us\image_505.png,0,Among Us
data\gameplay-images\Genshin Impact\image_115.png,5,Genshin Impact
data\gameplay-images\Free Fire\image_486.png,4,Free Fire
data\gameplay-images\God of War\image_738.png,6,God of War
data\gameplay-images\Fortnite\image_454.png,2,Fortnite
data\gameplay-images\Forza Horizon\image_478.png,3,Forza Horizon
data\gameplay-images\Apex Legends\image_823.png,1,Apex Legends
data\gameplay-images\Forza Horizon\image_191.png,3,Forza Horizon
data\gameplay-images\Free Fire\image_952.png,4,Free Fire
data\gameplay-images\Terraria\image_322.png,9,Terraria
data\gameplay-images\Forza Horizon\image_805.png,3,Forza Horizon
data\gameplay-images\Apex Legends\image_949.png,1,Apex Legends
data\gameplay-images\Terraria\image_76.png,9,Terraria
data\gameplay-images\Roblox\image_1014.png,8,Roblox
data\gameplay-images\Among Us\image_795.png,0,Among Us
data\gameplay-images\Fortnite\image_319.png,2,Fortnite
data\gameplay-images\Free Fire\image_104.png,4,Free Fire
data\gameplay-images\Forza Horizon\image_144.png,3,Forza Horizon
data\gameplay-images\Minecraft\image_55.png,7,Minecraft
data\gameplay-images\Minecraft\image_1080.png,7,Minecraft
data\gameplay-images\Minecraft\image_215.png,7,Minecraft
data\gameplay-images\Fortnite\image_787.png,2,Fortnite
data\gameplay-images\Among Us\image_271.png,0,Among Us
data\gameplay-images\Among Us\image_123.png,0,Among Us
data\gameplay-images\Roblox\image_5.png,8,Roblox
data\gameplay-images\Genshin Impact\image_700.png,5,Genshin Impact
data\gameplay-images\God of War\image_97.png,6,God of War
data\gameplay-images\Free Fire\image_976.png,4,Free Fire
data\gameplay-images\Terraria\image_327.png,9,Terraria
data\gameplay-images\Fortnite\image_311.png,2,Fortnite
data\gameplay-images\Roblox\image_108.png,8,Roblox
data\gameplay-images\Forza Horizon\image_665.png,3,Forza Horizon
data\gameplay-images\Minecraft\image_871.png,7,Minecraft
data\gameplay-images\Terraria\image_652.png,9,Terraria
data\gameplay-images\God of War\image_348.png,6,God of War
data\gameplay-images\Fortnite\image_546.png,2,Fortnite
data\gameplay-images\Among Us\image_592.png,0,Among Us
data\gameplay-images\Genshin Impact\image_555.png,5,Genshin Impact
data\gameplay-images\God of War\image_765.png,6,God of War
data\gameplay-images\God of War\image_576.png,6,God of War
data\gameplay-images\Terraria\image_176.png,9,Terraria
data\gameplay-images\Free Fire\image_207.png,4,Free Fire
data\gameplay-images\Free Fire\image_37.png,4,Free Fire
data\gameplay-images\Terraria\image_572.png,9,Terraria
data\gameplay-images\Minecraft\image_1063.png,7,Minecraft
data\gameplay-images\Apex Legends\image_138.png,1,Apex Legends
data\gameplay-images\Roblox\image_778.png,8,Roblox
data\gameplay-images\Roblox\image_473.png,8,Roblox
data\gameplay-images\Terraria\image_986.png,9,Terraria
data\gameplay-images\Forza Horizon\image_779.png,3,Forza Horizon
data\gameplay-images\Genshin Impact\image_624.png,5,Genshin Impact
data\gameplay-images\Roblox\image_632.png,8,Roblox
data\gameplay-images\Among Us\image_930.png,0,Among Us
data\gameplay-images\Apex Legends\image_1029.png,1,Apex Legends
data\gameplay-images\Among Us\image_103.png,0,Among Us
data\gameplay-images\Genshin Impact\image_46.png,5,Genshin Impact
data\gameplay-images\Terraria\image_226.png,9,Terraria
data\gameplay-images\Terraria\image_379.png,9,Terraria
data\gameplay-images\Among Us\image_255.png,0,Among Us
data\gameplay-images\Genshin Impact\image_412.png,5,Genshin Impact
data\gameplay-images\Genshin Impact\image_639.png,5,Genshin Impact
data\gameplay-images\Minecraft\image_814.png,7,Minecraft
data\gameplay-images\Among Us\image_8.png,0,Among Us
data\gameplay-images\Apex Legends\image_105.png,1,Apex Legends
data\gameplay-images\Among Us\image_113.png,0,Among Us
data\gameplay-images\Terraria\image_11.png,9,Terraria
data\gameplay-images\Among Us\image_5.png,0,Among Us
data\gameplay-images\Roblox\image_996.png,8,Roblox
data\gameplay-images\Genshin Impact\image_74.png,5,Genshin Impact
data\gameplay-images\God of War\image_24.png,6,God of War
data\gameplay-images\Terraria\image_446.png,9,Terraria
data\gameplay-images\Free Fire\image_41.png,4,Free Fire
data\gameplay-images\Minecraft\image_1046.png,7,Minecraft
data\gameplay-images\Terraria\image_294.png,9,Terraria
data\gameplay-images\Roblox\image_987.png,8,Roblox
data\gameplay-images\Genshin Impact\image_806.png,5,Genshin Impact
data\gameplay-images\Apex Legends\image_450.png,1,Apex Legends
data\gameplay-images\Roblox\image_554.png,8,Roblox
data\gameplay-images\Free Fire\image_307.png,4,Free Fire
data\gameplay-images\Among Us\image_318.png,0,Among Us
data\gameplay-images\Apex Legends\image_145.png,1,Apex Legends
data\gameplay-images\Roblox\image_930.png,8,Roblox
data\gameplay-images\Roblox\image_212.png,8,Roblox
data\gameplay-images\Minecraft\image_923.png,7,Minecraft
data\gameplay-images\God of War\image_1011.png,6,God of War
data\gameplay-images\Minecraft\image_207.png,7,Minecraft
data\gameplay-images\Minecraft\image_449.png,7,Minecraft
data\gameplay-images\Genshin Impact\image_432.png,5,Genshin Impact
data\gameplay-images\Apex Legends\image_119.png,1,Apex Legends
data\gameplay-images\Terraria\image_118.png,9,Terraria
data\gameplay-images\Free Fire\image_893.png,4,Free Fire
data\gameplay-images\Fortnite\image_727.png,2,Fortnite
data\gameplay-images\Among Us\image_229.png,0,Among Us
data\gameplay-images\Terraria\image_207.png,9,Terraria
data\gameplay-images\Forza Horizon\image_463.png,3,Forza Horizon
data\gameplay-images\Terraria\image_660.png,9,Terraria
data\gameplay-images\Forza Horizon\image_52.png,3,Forza Horizon
data\gameplay-images\Forza Horizon\image_392.png,3,Forza Horizon
data\gameplay-images\Apex Legends\image_765.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_512.png,5,Genshin Impact
data\gameplay-images\Roblox\image_104.png,8,Roblox
data\gameplay-images\Terraria\image_728.png,9,Terraria
data\gameplay-images\Free Fire\image_56.png,4,Free Fire
data\gameplay-images\Free Fire\image_645.png,4,Free Fire
data\gameplay-images\Minecraft\image_94.png,7,Minecraft
data\gameplay-images\Genshin Impact\image_118.png,5,Genshin Impact
data\gameplay-images\Among Us\image_163.png,0,Among Us
data\gameplay-images\Roblox\image_1004.png,8,Roblox
data\gameplay-images\Genshin Impact\image_887.png,5,Genshin Impact
data\gameplay-images\Free Fire\image_772.png,4,Free Fire
data\gameplay-images\Minecraft\image_645.png,7,Minecraft
data\gameplay-images\Free Fire\image_12.png,4,Free Fire
data\gameplay-images\Forza Horizon\image_128.png,3,Forza Horizon
data\gameplay-images\Forza Horizon\image_171.png,3,Forza Horizon
data\gameplay-images\Free Fire\image_903.png,4,Free Fire
data\gameplay-images\Genshin Impact\image_595.png,5,Genshin Impact
data\gameplay-images\Minecraft\image_130.png,7,Minecraft
data\gameplay-images\Free Fire\image_733.png,4,Free Fire
data\gameplay-images\God of War\image_923.png,6,God of War
data\gameplay-images\Among Us\image_26.png,0,Among Us
data\gameplay-images\Forza Horizon\image_887.png,3,Forza Horizon
data\gameplay-images\Genshin Impact\image_843.png,5,Genshin Impact
data\gameplay-images\Minecraft\image_1018.png,7,Minecraft
data\gameplay-images\Roblox\image_95.png,8,Roblox
data\gameplay-images\Free Fire\image_956.png,4,Free Fire
data\gameplay-images\Fortnite\image_122.png,2,Fortnite
data\gameplay-images\Apex Legends\image_769.png,1,Apex Legends
data\gameplay-images\Terraria\image_239.png,9,Terraria
data\gameplay-images\Apex Legends\image_583.png,1,Apex Legends
data\gameplay-images\Minecraft\image_1023.png,7,Minecraft
data\gameplay-images\Apex Legends\image_197.png,1,Apex Legends
data\gameplay-images\Roblox\image_740.png,8,Roblox
data\gameplay-images\Among Us\image_100.png,0,Among Us
data\gameplay-images\Among Us\image_329.png,0,Among Us
data\gameplay-images\Roblox\image_563.png,8,Roblox
data\gameplay-images\Fortnite\image_545.png,2,Fortnite
data\gameplay-images\Terraria\image_33.png,9,Terraria
data\gameplay-images\Fortnite\image_38.png,2,Fortnite
data\gameplay-images\Genshin Impact\image_614.png,5,Genshin Impact
data\gameplay-images\Minecraft\image_490.png,7,Minecraft
data\gameplay-images\Fortnite\image_823.png,2,Fortnite
data\gameplay-images\Minecraft\image_1056.png,7,Minecraft
data\gameplay-images\Minecraft\image_1076.png,7,Minecraft
data\gameplay-images\Fortnite\image_786.png,2,Fortnite
data\gameplay-images\Terraria\image_945.png,9,Terraria
data\gameplay-images\Roblox\image_708.png,8,Roblox
data\gameplay-images\Free Fire\image_287.png,4,Free Fire
data\gameplay-images\Forza Horizon\image_903.png,3,Forza Horizon
data\gameplay-images\Forza Horizon\image_698.png,3,Forza Horizon
data\gameplay-images\Fortnite\image_859.png,2,Fortnite
data\gameplay-images\Among Us\image_577.png,0,Among Us
data\gameplay-images\Forza Horizon\image_50.png,3,Forza Horizon
data\gameplay-images\Apex Legends\image_442.png,1,Apex Legends
data\gameplay-images\Roblox\image_505.png,8,Roblox
data\gameplay-images\Among Us\image_346.png,0,Among Us
data\gameplay-images\Roblox\image_389.png,8,Roblox
data\gameplay-images\Free Fire\image_416.png,4,Free Fire
data\gameplay-images\Forza Horizon\image_96.png,3,Forza Horizon
data\gameplay-images\Fortnite\image_864.png,2,Fortnite
data\gameplay-images\Roblox\image_419.png,8,Roblox
data\gameplay-images\Minecraft\image_342.png,7,Minecraft
data\gameplay-images\Fortnite\image_930.png,2,Fortnite
data\gameplay-images\Roblox\image_896.png,8,Roblox
data\gameplay-images\Fortnite\image_332.png,2,Fortnite
data\gameplay-images\God of War\image_80.png,6,God of War
data\gameplay-images\Free Fire\image_420.png,4,Free Fire
data\gameplay-images\Fortnite\image_697.png,2,Fortnite
data\gameplay-images\God of War\image_198.png,6,God of War
data\gameplay-images\Fortnite\image_376.png,2,Fortnite
data\gameplay-images\Forza Horizon\image_36.png,3,Forza Horizon
data\gameplay-images\Genshin Impact\image_352.png,5,Genshin Impact
data\gameplay-images\Free Fire\image_77.png,4,Free Fire
data\gameplay-images\Apex Legends\image_606.png,1,Apex Legends
data\gameplay-images\Forza Horizon\image_960.png,3,Forza Horizon
data\gameplay-images\Terraria\image_147.png,9,Terraria
data\gameplay-images\Genshin Impact\image_814.png,5,Genshin Impact
data\gameplay-images\God of War\image_482.png,6,God of War
data\gameplay-images\Minecraft\image_596.png,7,Minecraft
data\gameplay-images\Among Us\image_345.png,0,Among Us
data\gameplay-images\Terraria\image_504.png,9,Terraria
data\gameplay-images\Fortnite\image_309.png,2,Fortnite
data\gameplay-images\God of War\image_829.png,6,God of War
data\gameplay-images\Forza Horizon\image_166.png,3,Forza Horizon
data\gameplay-images\Among Us\image_17.png,0,Among Us
data\gameplay-images\Forza Horizon\image_621.png,3,Forza Horizon
data\gameplay-images\Free Fire\image_356.png,4,Free Fire
data\gameplay-images\Apex Legends\image_714.png,1,Apex Legends
data\gameplay-images\Apex Legends\image_607.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_192.png,5,Genshin Impact
data\gameplay-images\Roblox\image_69.png,8,Roblox
data\gameplay-images\Fortnite\image_817.png,2,Fortnite
data\gameplay-images\Minecraft\image_417.png,7,Minecraft
data\gameplay-images\Genshin Impact\image_318.png,5,Genshin Impact
data\gameplay-images\Apex Legends\image_108.png,1,Apex Legends
data\gameplay-images\Roblox\image_352.png,8,Roblox
data\gameplay-images\God of War\image_529.png,6,God of War
data\gameplay-images\Forza Horizon\image_689.png,3,Forza Horizon
data\gameplay-images\Free Fire\image_765.png,4,Free Fire
data\gameplay-images\Genshin Impact\image_213.png,5,Genshin Impact
data\gameplay-images\Free Fire\image_981.png,4,Free Fire
data\gameplay-images\Free Fire\image_508.png,4,Free Fire
data\gameplay-images\Apex Legends\image_7.png,1,Apex Legends
data\gameplay-images\Free Fire\image_110.png,4,Free Fire
data\gameplay-images\Genshin Impact\image_101.png,5,Genshin Impact
data\gameplay-images\Free Fire\image_979.png,4,Free Fire
data\gameplay-images\Forza Horizon\image_864.png,3,Forza Horizon
data\gameplay-images\Among Us\image_286.png,0,Among Us
data\gameplay-images\Fortnite\image_662.png,2,Fortnite
data\gameplay-images\Free Fire\image_49.png,4,Free Fire
data\gameplay-images\Terraria\image_281.png,9,Terraria
data\gameplay-images\Roblox\image_747.png,8,Roblox
data\gameplay-images\Apex Legends\image_99.png,1,Apex Legends
data\gameplay-images\Among Us\image_333.png,0,Among Us
data\gameplay-images\Among Us\image_991.png,0,Among Us
data\gameplay-images\Free Fire\image_719.png,4,Free Fire
data\gameplay-images\Fortnite\image_509.png,2,Fortnite
data\gameplay-images\Terraria\image_822.png,9,Terraria
data\gameplay-images\God of War\image_721.png,6,God of War
data\gameplay-images\Genshin Impact\image_938.png,5,Genshin Impact
data\gameplay-images\Minecraft\image_527.png,7,Minecraft
data\gameplay-images\Among Us\image_678.png,0,Among Us
data\gameplay-images\Fortnite\image_211.png,2,Fortnite
data\gameplay-images\Forza Horizon\image_197.png,3,Forza Horizon
data\gameplay-images\Minecraft\image_926.png,7,Minecraft
data\gameplay-images\Apex Legends\image_543.png,1,Apex Legends
data\gameplay-images\Terraria\image_573.png,9,Terraria
data\gameplay-images\Among Us\image_135.png,0,Among Us
data\gameplay-images\Free Fire\image_45.png,4,Free Fire
data\gameplay-images\Fortnite\image_450.png,2,Fortnite
data\gameplay-images\Apex Legends\image_4.png,1,Apex Legends
data\gameplay-images\Free Fire\image_943.png,4,Free Fire
data\gameplay-images\God of War\image_69.png,6,God of War
data\gameplay-images\Fortnite\image_32.png,2,Fortnite
data\gameplay-images\Free Fire\image_488.png,4,Free Fire
data\gameplay-images\Roblox\image_122.png,8,Roblox
data\gameplay-images\Roblox\image_452.png,8,Roblox
data\gameplay-images\Roblox\image_859.png,8,Roblox
data\gameplay-images\Roblox\image_434.png,8,Roblox
data\gameplay-images\Forza Horizon\image_276.png,3,Forza Horizon
data\gameplay-images\Forza Horizon\image_449.png,3,Forza Horizon
data\gameplay-images\Among Us\image_774.png,0,Among Us
data\gameplay-images\Forza Horizon\image_810.png,3,Forza Horizon
data\gameplay-images\Minecraft\image_693.png,7,Minecraft
data\gameplay-images\Terraria\image_214.png,9,Terraria
data\gameplay-images\Free Fire\image_506.png,4,Free Fire
data\gameplay-images\Fortnite\image_758.png,2,Fortnite
data\gameplay-images\Minecraft\image_7.png,7,Minecraft
data\gameplay-images\Roblox\image_415.png,8,Roblox
data\gameplay-images\Among Us\image_234.png,0,Among Us
data\gameplay-images\Apex Legends\image_678.png,1,Apex Legends
data\gameplay-images\Apex Legends\image_480.png,1,Apex Legends
data\gameplay-images\Fortnite\image_881.png,2,Fortnite
data\gameplay-images\Minecraft\image_208.png,7,Minecraft
data\gameplay-images\Free Fire\image_769.png,4,Free Fire
data\gameplay-images\Free Fire\image_235.png,4,Free Fire
data\gameplay-images\Roblox\image_416.png,8,Roblox
data\gameplay-images\Forza Horizon\image_611.png,3,Forza Horizon
data\gameplay-images\Minecraft\image_24.png,7,Minecraft
data\gameplay-images\Minecraft\image_687.png,7,Minecraft
data\gameplay-images\Terraria\image_152.png,9,Terraria
data\gameplay-images\Fortnite\image_389.png,2,Fortnite
data\gameplay-images\Minecraft\image_256.png,7,Minecraft
data\gameplay-images\Among Us\image_572.png,0,Among Us
data\gameplay-images\Minecraft\image_362.png,7,Minecraft
data\gameplay-images\Free Fire\image_594.png,4,Free Fire
data\gameplay-images\Among Us\image_356.png,0,Among Us
data\gameplay-images\Fortnite\image_71.png,2,Fortnite
data\gameplay-images\Roblox\image_989.png,8,Roblox
data\gameplay-images\Apex Legends\image_697.png,1,Apex Legends
data\gameplay-images\Apex Legends\image_140.png,1,Apex Legends
data\gameplay-images\Apex Legends\image_620.png,1,Apex Legends
data\gameplay-images\Free Fire\image_368.png,4,Free Fire
data\gameplay-images\Roblox\image_625.png,8,Roblox
data\gameplay-images\Apex Legends\image_401.png,1,Apex Legends
data\gameplay-images\Terraria\image_393.png,9,Terraria
data\gameplay-images\Roblox\image_768.png,8,Roblox
data\gameplay-images\Free Fire\image_143.png,4,Free Fire
data\gameplay-images\Minecraft\image_188.png,7,Minecraft
data\gameplay-images\Fortnite\image_236.png,2,Fortnite
data\gameplay-images\Roblox\image_901.png,8,Roblox
data\gameplay-images\God of War\image_924.png,6,God of War
data\gameplay-images\Among Us\image_200.png,0,Among Us
data\gameplay-images\Among Us\image_354.png,0,Among Us
data\gameplay-images\Minecraft\image_343.png,7,Minecraft
data\gameplay-images\Fortnite\image_750.png,2,Fortnite
data\gameplay-images\Fortnite\image_471.png,2,Fortnite
data\gameplay-images\Among Us\image_50.png,0,Among Us
data\gameplay-images\Roblox\image_61.png,8,Roblox
data\gameplay-images\God of War\image_347.png,6,God of War
data\gameplay-images\Terraria\image_800.png,9,Terraria
data\gameplay-images\God of War\image_228.png,6,God of War
data\gameplay-images\Minecraft\image_863.png,7,Minecraft
data\gameplay-images\Among Us\image_492.png,0,Among Us
data\gameplay-images\Free Fire\image_254.png,4,Free Fire
data\gameplay-images\Terraria\image_774.png,9,Terraria
data\gameplay-images\Minecraft\image_503.png,7,Minecraft
data\gameplay-images\Apex Legends\image_852.png,1,Apex Legends
data\gameplay-images\Minecraft\image_765.png,7,Minecraft
data\gameplay-images\Forza Horizon\image_137.png,3,Forza Horizon
data\gameplay-images\Genshin Impact\image_1008.png,5,Genshin Impact
data\gameplay-images\Forza Horizon\image_1025.png,3,Forza Horizon
data\gameplay-images\God of War\image_818.png,6,God of War
data\gameplay-images\Fortnite\image_809.png,2,Fortnite
data\gameplay-images\Genshin Impact\image_674.png,5,Genshin Impact
data\gameplay-images\Terraria\image_35.png,9,Terraria
data\gameplay-images\Minecraft\image_341.png,7,Minecraft
data\gameplay-images\Apex Legends\image_240.png,1,Apex Legends
data\gameplay-images\Among Us\image_979.png,0,Among Us
data\gameplay-images\Apex Legends\image_799.png,1,Apex Legends
data\gameplay-images\Among Us\image_927.png,0,Among Us
data\gameplay-images\Terraria\image_133.png,9,Terraria
data\gameplay-images\Terraria\image_993.png,9,Terraria
data\gameplay-images\Forza Horizon\image_798.png,3,Forza Horizon
data\gameplay-images\Roblox\image_655.png,8,Roblox
data\gameplay-images\Terraria\image_558.png,9,Terraria
data\gameplay-images\God of War\image_237.png,6,God of War
data\gameplay-images\Among Us\image_565.png,0,Among Us
data\gameplay-images\God of War\image_984.png,6,God of War
data\gameplay-images\Terraria\image_217.png,9,Terraria
data\gameplay-images\Among Us\image_326.png,0,Among Us
data\gameplay-images\Terraria\image_77.png,9,Terraria
data\gameplay-images\Fortnite\image_190.png,2,Fortnite
data\gameplay-images\Roblox\image_333.png,8,Roblox
data\gameplay-images\Fortnite\image_848.png,2,Fortnite
data\gameplay-images\God of War\image_318.png,6,God of War
data\gameplay-images\Genshin Impact\image_438.png,5,Genshin Impact
data\gameplay-images\Roblox\image_11.png,8,Roblox
data\gameplay-images\Roblox\image_33.png,8,Roblox
data\gameplay-images\Apex Legends\image_341.png,1,Apex Legends
data\gameplay-images\Forza Horizon\image_395.png,3,Forza Horizon
data\gameplay-images\Terraria\image_404.png,9,Terraria
data\gameplay-images\Fortnite\image_317.png,2,Fortnite
data\gameplay-images\Among Us\image_984.png,0,Among Us
data\gameplay-images\Genshin Impact\image_225.png,5,Genshin Impact
data\gameplay-images\Roblox\image_699.png,8,Roblox
data\gameplay-images\Genshin Impact\image_652.png,5,Genshin Impact
data\gameplay-images\Among Us\image_501.png,0,Among Us
data\gameplay-images\Among Us\image_61.png,0,Among Us
data\gameplay-images\Free Fire\image_1001.png,4,Free Fire
data\gameplay-images\Among Us\image_118.png,0,Among Us
data\gameplay-images\Fortnite\image_239.png,2,Fortnite
data\gameplay-images\Apex Legends\image_950.png,1,Apex Legends
data\gameplay-images\Free Fire\image_114.png,4,Free Fire
data\gameplay-images\Terraria\image_352.png,9,Terraria
data\gameplay-images\Forza Horizon\image_286.png,3,Forza Horizon
data\gameplay-images\Roblox\image_403.png,8,Roblox
data\gameplay-images\Fortnite\image_591.png,2,Fortnite
data\gameplay-images\Among Us\image_859.png,0,Among Us
data\gameplay-images\Free Fire\image_81.png,4,Free Fire
data\gameplay-images\Genshin Impact\image_349.png,5,Genshin Impact
data\gameplay-images\Roblox\image_456.png,8,Roblox
data\gameplay-images\God of War\image_810.png,6,God of War
data\gameplay-images\Terraria\image_547.png,9,Terraria
data\gameplay-images\Apex Legends\image_42.png,1,Apex Legends
data\gameplay-images\Among Us\image_41.png,0,Among Us
data\gameplay-images\Apex Legends\image_506.png,1,Apex Legends
data\gameplay-images\Apex Legends\image_618.png,1,Apex Legends
data\gameplay-images\Free Fire\image_21.png,4,Free Fire
data\gameplay-images\Forza Horizon\image_236.png,3,Forza Horizon
data\gameplay-images\Genshin Impact\image_224.png,5,Genshin Impact
data\gameplay-images\Terraria\image_495.png,9,Terraria
data\gameplay-images\Terraria\image_363.png,9,Terraria
data\gameplay-images\Roblox\image_619.png,8,Roblox
data\gameplay-images\Fortnite\image_297.png,2,Fortnite
data\gameplay-images\Genshin Impact\image_62.png,5,Genshin Impact
data\gameplay-images\Terraria\image_759.png,9,Terraria
data\gameplay-images\Fortnite\image_531.png,2,Fortnite
data\gameplay-images\Roblox\image_524.png,8,Roblox
data\gameplay-images\Apex Legends\image_516.png,1,Apex Legends
data\gameplay-images\Minecraft\image_1036.png,7,Minecraft
data\gameplay-images\Apex Legends\image_863.png,1,Apex Legends
data\gameplay-images\Terraria\image_794.png,9,Terraria
data\gameplay-images\Fortnite\image_564.png,2,Fortnite
data\gameplay-images\Minecraft\image_366.png,7,Minecraft
data\gameplay-images\Minecraft\image_580.png,7,Minecraft
data\gameplay-images\Forza Horizon\image_205.png,3,Forza Horizon
data\gameplay-images\Genshin Impact\image_869.png,5,Genshin Impact
data\gameplay-images\Roblox\image_121.png,8,Roblox
data\gameplay-images\Terraria\image_891.png,9,Terraria
data\gameplay-images\Among Us\image_101.png,0,Among Us
data\gameplay-images\Forza Horizon\image_815.png,3,Forza Horizon
data\gameplay-images\Roblox\image_675.png,8,Roblox
data\gameplay-images\Terraria\image_947.png,9,Terraria
data\gameplay-images\Fortnite\image_422.png,2,Fortnite
data\gameplay-images\Forza Horizon\image_270.png,3,Forza Horizon
data\gameplay-images\Terraria\image_541.png,9,Terraria
data\gameplay-images\Free Fire\image_795.png,4,Free Fire
data\gameplay-images\Roblox\image_549.png,8,Roblox
data\gameplay-images\Fortnite\image_95.png,2,Fortnite
data\gameplay-images\Free Fire\image_532.png,4,Free Fire
data\gameplay-images\Forza Horizon\image_173.png,3,Forza Horizon
data\gameplay-images\Apex Legends\image_575.png,1,Apex Legends
data\gameplay-images\Free Fire\image_653.png,4,Free Fire
data\gameplay-images\Genshin Impact\image_804.png,5,Genshin Impact
data\gameplay-images\Genshin Impact\image_399.png,5,Genshin Impact
data\gameplay-images\Free Fire\image_516.png,4,Free Fire
data\gameplay-images\Forza Horizon\image_554.png,3,Forza Horizon
data\gameplay-images\Free Fire\image_703.png,4,Free Fire
data\gameplay-images\Among Us\image_947.png,0,Among Us
data\gameplay-images\Forza Horizon\image_454.png,3,Forza Horizon
data\gameplay-images\Forza Horizon\image_55.png,3,Forza Horizon
data\gameplay-images\Among Us\image_137.png,0,Among Us
data\gameplay-images\Genshin Impact\image_609.png,5,Genshin Impact
data\gameplay-images\God of War\image_776.png,6,God of War
data\gameplay-images\Roblox\image_1006.png,8,Roblox
data\gameplay-images\Terraria\image_815.png,9,Terraria
data\gameplay-images\Forza Horizon\image_670.png,3,Forza Horizon
data\gameplay-images\Genshin Impact\image_858.png,5,Genshin Impact
data\gameplay-images\Among Us\image_516.png,0,Among Us
data\gameplay-images\Forza Horizon\image_1016.png,3,Forza Horizon
data\gameplay-images\Among Us\image_690.png,0,Among Us
data\gameplay-images\Free Fire\image_468.png,4,Free Fire
data\gameplay-images\Genshin Impact\image_403.png,5,Genshin Impact
data\gameplay-images\God of War\image_424.png,6,God of War
data\gameplay-images\Roblox\image_915.png,8,Roblox
data\gameplay-images\Minecraft\image_118.png,7,Minecraft
data\gameplay-images\Terraria\image_110.png,9,Terraria
data\gameplay-images\Apex Legends\image_417.png,1,Apex Legends
data\gameplay-images\Genshin Impact\image_786.png,5,Genshin Impact
data\gameplay-images\Apex Legends\image_588.png,1,Apex Legends
data\gameplay-images\Free Fire\image_569.png,4,Free Fire
data\gameplay-images\Minecraft\image_832.png,7,Minecraft
data\gameplay-images\Fortnite\image_815.png,2,Fortnite
data\gameplay-images\Forza Horizon\image_555.png,3,Forza Horizon
data\gameplay-images\Terraria\image_805.png,9,Terraria
data\gameplay-images\Fortnite\image_403.png,2,Fortnite
data\gameplay-images\Terraria\image_401.png,9,Terraria
data\gameplay-images\Fortnite\image_753.png,2,Fortnite
data\gameplay-images\Among Us\image_106.png,0,Among Us
data\gameplay-images\Minecraft\image_995.png,7,Minecraft
